cat_id,cat_name,cat_desc,path
0.0.0.0.0,GENERAL_CATEGORY,A general or fallback category used when no specific match is available.,0.0.0.0.0
1,FOOD_AND_ESSENTIALS_SUPPORT,Parent category for all food and basic essentials-related assistance.,1
1.1,FOOD_ASSISTANCE,"Help users find food banks, pantries, and government meal programs.",1/1.1
1.2,GROCERY_SHOPPING_AND_DELIVERY,Request help with grocery shopping and doorstep delivery by volunteers.,1/1.2
1.3,COOKING_HELP,Users can request help from volunteers to assist with basic cooking and kitchen tasks.,1/1.3
2,CLOTHING_SUPPORT,Parent category for all clothing-related assistance and services.,2
2.1,DONATE_CLOTHES,Allow users (donors) to donate clothes based on their location.,2/2.1
2.2,BORROW_CLOTHES,Allow users to borrow clothes easily via the platform.,2/2.2
2.3,EMERGENCY_ASSISTANCE,"Subcategory for emergency needs including clothing, food, and shelter during crises.",2/2.3
2.3.1,EMERGENCY_CLOTHING_ASSISTANCE,"Enable users in crisis situations (e.g., natural disasters, sudden displacement) to request clothing help.",2/2.3/2.3.1
2.4,SEASONAL_DRIVE_NOTIFICATION,"Notify users when seasonal clothing drives are active, allowing them to donate or request items.",2/2.4
2.5,TAILORING,"Users can request clothing repair (e.g., seams, zippers) via volunteers or local tailoring partners.",2/2.5
3,HOUSING_SUPPORT,Parent category for all housing-related assistance and services.,3
3.1,FIND_A_ROOMMATE,Help users find compatible roommates by posting listings or providing compatibility guidance.,3/3.1
3.2,RENTING_SUPPORT,"Assist with understanding rental agreements, finding rental listings, and navigating tenant rights.",3/3.2
3.3,HOUSEHOLD_ITEM_EXCHANGE,Help users buy or sell secondhand furniture and home essentials (remote).,3/3.3
3.4,MOVING_ASSISTANCE,"In-person support for packing, sorting, or organizing small items during a move.",3/3.4
3.5,CLEANING_HELP,"In-person support for light cleaning tasks such as dusting, sweeping, and tidying common areas.",3/3.5
3.6,HOME_REPAIR_SUPPORT,"Support for non-urgent minor repairs like furniture fixes, plumbing, or appliance help.",3/3.6
3.7,UTILITIES_SETUP,"Assistance setting up internet, electricity, water, and other services during a move-in.",3/3.7
4,EDUCATION_CAREER_SUPPORT,Parent category for education and career-related help.,4
4.1,COLLEGE_APPLICATION_HELP,Guidance for navigating college application tasks.,4/4.1
4.2,SOP_ESSAY_REVIEW,"Review and feedback on SOPs, essays, and academic statements.",4/4.2
4.3,TUTORING,Academic tutoring for specific subjects or standardized tests.,4/4.3
5,HEALTHCARE_WELLNESS_SUPPORT,Parent category for health-related assistance and non-clinical wellness support.,5
5.1,MEDICAL_NAVIGATION,Help users find appropriate professionals or clinics.,5/5.1
5.2,MEDICINE_DELIVERY,Assist with OTC medication pickup or pharmacy navigation.,5/5.2
5.3,MENTAL_WELLBEING_SUPPORT,Access general mental health resources or referrals.,5/5.3
5.4,MEDICATION_REMINDERS,Set up non-clinical reminders for OTC medication or supplements.,5/5.4
5.5,HEALTH_EDUCATION_GUIDANCE,"Wellness awareness on hygiene, sleep, nutrition, etc.",5/5.5
6,ELDERLY_SUPPORT,Parent category for elderly and community-related support.,6
6.1,SENIOR_LIVING_RELOCATION,Help seniors find housing and assist with the moving process.,6/6.1
6.2,DIGITAL_SUPPORT_FOR_SENIORS,"Support with using phones, tablets, and apps.",6/6.2
6.3,MEDICAL_HELP,Medication reminders or health device setup (non-clinical).,6/6.3
6.4,ERRANDS_TRANSPORTATION,Assistance with errands or transport to appointments.,6/6.4
6.5,SOCIAL_CONNECTION,"Companionship and social activities (calls, walks, games).",6/6.5
6.6,MEAL_SUPPORT,Help cooking meals or prepping food based on dietary needs.,6/6.6
