cat_id,field_name_key,field_type,status
1.1,PREFERRED_MEAL_TYPE,string,active
1.1,DIETARY_RESTRICTIONS,string,active
1.1,HOUSEHOLD_SIZE,int,active
1.2,GROCERY_LIST,string,active
1.2,DELIVERY_ADDRESS,string,active
1.2,PREFERRED_TIME,string,active
1.2,PAYMENT_METHOD,string,active
1.3,COOKING_TASK,string,active
1.3,RECIPE_PREFERENCE,string,active
1.3,KITCHEN_EQUIPMENT,string,active
2.1,CATEGORY,string,active
2.1,SIZE,string,active
2.1,CONDITION,string,active
2.1,IMAGE,string,active
2.1,LOCATION,string,active
2.1,DROP_OR_PICKUP,string,active
2.2,ITEM_NAME,string,active
2.2,CATEGORY,string,active
2.2,SIZE,string,active
2.2,CONDITION,string,active
2.2,QUANTITY,int,active
2.2,IMAGE,string,active
2.2,REQUEST_TYPE,string,active
2.2,PICKUP_DATETIME,string,active
2.3.1,NUM_ADULTS,int,active
2.3.1,NUM_CHILDREN,int,active
2.4,ALERT_TYPE,string,active
2.4,SIZE,string,active
2.4,DATE_RANGE,string,active
2.5,GARMENT_DETAILS,string,active
2.5,IMAGES,string,active
2.5,DELIVERY_METHOD,string,active
3.1,CITY_ZIP_CODE,string,active
3.1,RENT_RANGE,string,active
3.1,PROPERTY_TYPE,string,active
3.1,HOUSE_TYPE,string,active
3.1,AGREEMENT_TYPE,string,active
3.1,ROOMMATE_PREFERENCES,string,active
3.1,ADDITIONAL_ROOM_CRITERIA,string,active
3.1,AVAILABILITY_TIMELINE,string,active
3.2,DOCUMENT_UPLOADED,string,active
3.2,HELP_TYPE,string,active
3.2,CONCERNS,string,active
3.2,URGENCY,string,active
3.3,ITEM_TYPE,string,active
3.3,LISTING_LINK,string,active
3.4,MOVE_IN_ADDRESS,string,active
3.4,SUPPORT_TYPE,string,active
3.4,SPECIAL_NEEDS,string,active
3.4,NUM_HELPERS,int,active
3.4,TIME_SLOT,string,active
3.5,CLEANING_AREA,string,active
3.5,CLEANING_TYPE,string,active
3.6,REPAIR_TYPE,string,active
3.6,ISSUE_DESCRIPTION,string,active
3.7,UTILITY_TYPE,string,active
3.7,MOVE_IN_DATE,string,active
3.7,LOCATION,string,active
4.1,APPLICATION_AREA,string,active
4.1,UPLOADED_DOCUMENTS,string,active
4.1,PREFERRED_TIMELINE,string,active
4.2,DOCUMENT_TYPE,string,active
4.2,FEEDBACK_TYPE,string,active
4.2,DEADLINE,string,active
4.3,SUBJECT,string,active
4.3,GRADE_LEVEL,string,active
4.3,TUTORING_MODE,string,active
4.3,AVAILABILITY,string,active
5.1,LOCATION,string,active
5.1,URGENCY_LEVEL,string,active
5.1,ACCESSIBILITY_NEEDS,string,active
5.1,CONSULTATION_METHOD,string,active
5.2,DELIVERY_TYPE,string,active
5.2,ITEM_LIST,string,active
5.2,ADDRESS,string,active
5.2,DELIVERY_TIME,string,active
5.3,HELP_TYPE,string,active
5.3,APPOINTMENT_METHOD,string,active
5.3,ZIP_CODE,string,active
5.3,PROVIDER_TYPE,string,active
5.4,REMINDER_METHOD,string,active
5.4,REMINDER_TIME,string,active
5.4,REPETITION_SCHEDULE,string,active
5.4,DURATION,string,active
5.5,EDUCATION_TOPIC,string,active
5.5,PREFERRED_FORMAT,string,active
6.1,PREFERRED_LOCATION,string,active
6.1,BUDGET_RANGE,string,active
6.1,FACILITY_TYPE,string,active
6.1,MOVE_TIMELINE,string,active
6.1,AMENITIES,string,active
6.1,MOVE_DATE,string,active
6.1,MOVE_ADDRESS,string,active
6.1,DESTINATION_ADDRESS,string,active
6.1,ITEMS_TO_MOVE,string,active
6.1,ASSISTANCE_TYPE,string,active
6.2,DEVICE_TYPE,string,active
6.2,DEVICE_BRAND,string,active
6.2,TECH_HELP_TYPE,string,active
6.3,MEDICATION_COUNT,int,active
6.3,REMINDER_TYPE,string,active
6.3,SETUP_MODE,string,active
6.3,HEALTH_DEVICE_TYPE,string,active
6.4,ERRAND_TYPE,string,active
6.4,PICKUP_LOCATION,string,active
6.4,DELIVERY_LOCATION,string,active
6.4,TRIP_TYPE,string,active
6.4,TRANSPORT_MODE,string,active
6.4,ACCESSIBILITY_NEEDS,string,active
6.4,APPOINTMENT_TYPE,string,active
6.4,SCHEDULING_MODE,string,active
6.5,SOCIAL_ACTIVITY,string,active
6.5,SOCIAL_FREQUENCY,string,active
6.6,MEAL_HELP_TYPE,string,active
6.6,MEAL_LOCATION,string,active
6.6,DIETARY_PREFERENCES,string,active
6.6,MEAL_SCHEDULE,string,active
